,name,team,year,mpg,fg%,3pfg%,rebounds,assists,steals,blocks,turnovers,points_per_game,player_efficiency,position
136,Mike Miller,Miami Heat,2013,15.3,.433,.417,2.7,1.7,0.4,0.1,0.6,4.8,13.5,SF
137,Chris Andersen,Miami Heat,2013,14.9,.577,.667,4.1,0.4,0.4,1.0,0.6,4.9,17.4,C
138,Rashard Lewis,Miami Heat,2013,14.4,.414,.389,2.2,0.5,0.4,0.3,0.6,5.2,11.1,PF
139,Joel Anthony,Miami Heat,2013,9.1,.515,,1.9,0.2,0.2,0.7,0.4,1.4,10.4,C
140,Juwan Howard,Miami Heat,2013,7.3,.526,,1.1,0.9,0.0,0.0,0.6,3.0,9.9,PF
141,James Jones,Miami Heat,2013,5.8,.344,.302,0.6,0.3,0.1,0.2,0.1,1.6,8.1,SF
142,Josh Harrellson,Miami Heat,2013,5.2,.444,.200,1.2,0.0,0.2,0.2,0.5,1.7,8.5,C
143,Jarvis Varnado,Miami Heat,2013,5.0,.333,,0.8,0.3,0.0,0.3,0.6,0.3,-4.1,PF
144,Terrel Harris,Miami Heat,2013,4.1,.250,.000,1.3,0.3,0.0,0.0,0.6,1.4,7.2,SG
145,Dexter Pittman,Miami Heat,2013,3.0,.600,,1.8,0.0,0.0,0.0,0.5,1.5,17.0,C
146,LeBron James,Miami Heat,2012,37.5,.531,.362,7.9,6.2,1.9,0.8,3.4,27.1,30.7,SF
147,Chris Bosh,Miami Heat,2012,35.2,.487,.286,7.9,1.8,0.9,0.8,2.1,18.0,18.9,PF
148,Dwyane Wade,Miami Heat,2012,33.2,.497,.268,4.8,4.6,1.7,1.3,2.6,22.1,26.3,SG
149,Mario Chalmers,Miami Heat,2012,28.5,.448,.388,2.7,3.5,1.5,0.2,2.2,9.8,13.0,PG
150,Udonis Haslem,Miami Heat,2012,24.8,.423,,7.3,0.7,0.5,0.4,0.9,6.0,10.9,PF
151,Shane Battier,Miami Heat,2012,23.1,.387,.339,2.4,1.3,1.0,0.5,0.6,4.8,9.7,SF
152,Joel Anthony,Miami Heat,2012,21.1,.559,,3.9,0.1,0.6,1.3,0.7,3.4,10.3,C
153,Norris Cole,Miami Heat,2012,19.4,.393,.276,1.4,2.0,0.7,0.0,1.6,6.8,7.9,PG
154,Mike Miller,Miami Heat,2012,19.3,.435,.453,3.3,1.1,0.4,0.2,0.8,6.1,11.4,SG
155,Ronny Turiaf,Miami Heat,2012,17.0,.533,.000,4.5,0.4,0.6,1.1,0.6,3.5,12.6,C
156,Terrel Harris,Miami Heat,2012,14.5,.349,.205,2.3,1.2,0.4,0.1,1.1,3.6,6.7,SG
157,James Jones,Miami Heat,2012,13.1,.380,.404,1.0,0.4,0.3,0.2,0.2,3.6,9.7,SG
158,Dexter Pittman,Miami Heat,2012,8.6,.468,,2.0,0.3,0.2,0.2,0.5,3.0,10.4,C
159,Juwan Howard,Miami Heat,2012,6.8,.309,,1.7,0.4,0.1,0.0,0.7,1.5,3.6,PF
160,Eddy Curry,Miami Heat,2012,5.9,.462,,0.9,0.1,0.0,0.1,0.7,2.1,3.6,C
161,Mickell Gladness,Miami Heat,2012,3.5,.333,,1.4,0.3,0.1,0.1,0.4,0.3,1.8,PF
162,Dirk Nowitzki,Dallas Mavericks,2011,34.3,.517,.393,7.0,2.6,0.5,0.6,1.9,23.0,23.4,PF
163,Jason Kidd,Dallas Mavericks,2011,33.2,.361,.340,4.4,8.2,1.7,0.4,2.2,7.9,14.4,PG
164,Jason Terry,Dallas Mavericks,2011,31.3,.451,.362,1.9,4.1,1.1,0.2,2.0,15.8,15.9,SG
165,Caron Butler,Dallas Mavericks,2011,29.9,.450,.431,4.1,1.6,1.0,0.3,1.7,15.0,14.2,SF
166,Shawn Marion,Dallas Mavericks,2011,28.2,.520,.152,6.9,1.4,0.9,0.6,1.6,12.5,17.0,SF
167,Tyson Chandler,Dallas Mavericks,2011,27.8,.654,,9.4,0.4,0.5,1.1,1.2,10.1,18.4,C
168,J.J. Barea,Dallas Mavericks,2011,20.6,.439,.349,2.0,3.9,0.4,0.0,1.7,9.5,14.8,PG
169,Peja Stojaković,Dallas Mavericks,2011,20.2,.429,.400,2.6,0.9,0.4,0.1,0.4,8.6,14.1,SF
170,Brendan Haywood,Dallas Mavericks,2011,18.5,.574,.000,5.2,0.3,0.2,1.0,0.7,4.4,11.7,C
171,Rodrigue Beaubois,Dallas Mavericks,2011,17.7,.422,.301,1.9,2.3,0.7,0.3,1.7,8.4,11.4,PG
172,Sasha Pavlović,Dallas Mavericks,2011,16.3,.429,.438,1.2,0.7,0.5,0.3,0.5,4.1,7.8,SF
173,DeShawn Stevenson,Dallas Mavericks,2011,16.1,.388,.378,1.5,1.1,0.3,0.1,0.6,5.3,9.8,SG
174,Corey Brewer,Dallas Mavericks,2011,11.4,.490,.308,1.8,0.9,0.8,0.2,0.8,5.3,17.6,SG
175,Brian Cardinal,Dallas Mavericks,2011,11.0,.430,.483,1.1,0.7,0.4,0.1,0.3,2.6,9.7,SF
176,Ian Mahinmi,Dallas Mavericks,2011,8.7,.561,.000,2.1,0.1,0.3,0.3,0.4,3.1,13.7,C
177,Dominique Jones,Dallas Mavericks,2011,7.5,.311,.000,1.4,1.1,0.3,0.2,0.6,2.3,10.6,SG
178,Alexis Ajinça,Dallas Mavericks,2011,7.5,.375,.429,1.7,0.2,0.3,0.5,0.1,2.9,12.8,C
179,Steve Novak,Dallas Mavericks,2011,2.6,.500,.750,0.7,0.0,0.0,0.0,0.0,1.6,19.6,SF
180,Kobe Bryant,Los Angeles Lakers,2010,38.8,.456,.329,5.4,5.0,1.5,0.3,3.2,27.0,21.9,SG
181,Pau Gasol,Los Angeles Lakers,2010,37.0,.536,.000,11.3,3.4,0.6,1.7,2.2,18.3,22.9,C
182,Metta World Peace,Los Angeles Lakers,2010,33.8,.414,.355,4.3,3.0,1.4,0.3,1.6,11.0,12.1,SF
183,Lamar Odom,Los Angeles Lakers,2010,31.5,.463,.319,9.8,3.3,0.9,0.7,1.8,10.8,15.9,PF
184,Andrew Bynum,Los Angeles Lakers,2010,30.4,.570,.000,8.3,1.0,0.5,1.4,1.8,15.0,20.2,C
185,Derek Fisher,Los Angeles Lakers,2010,27.2,.380,.348,2.1,2.5,1.1,0.1,1.0,7.5,9.3,PG
186,Shannon Brown,Los Angeles Lakers,2010,20.7,.427,.328,2.2,1.3,0.7,0.4,0.8,8.1,12.4,SG
187,Jordan Farmar,Los Angeles Lakers,2010,18.0,.435,.376,1.6,1.5,0.6,0.1,0.9,7.2,12.3,PG
188,Luke Walton,Los Angeles Lakers,2010,9.4,.357,.412,1.3,1.4,0.3,0.0,0.4,2.4,9.7,SF
189,Josh Powell,Los Angeles Lakers,2010,9.2,.366,.438,1.8,0.6,0.1,0.1,0.5,2.7,6.7,PF
190,Sasha Vujačić,Los Angeles Lakers,2010,8.6,.402,.309,1.2,0.6,0.3,0.1,0.3,2.8,11.4,SG
191,Adam Morrison,Los Angeles Lakers,2010,7.8,.376,.238,1.0,0.6,0.1,0.1,0.3,2.4,7.4,SF
192,Didier Ilunga-Mbenga,Los Angeles Lakers,2010,7.2,.466,,1.8,0.2,0.1,0.6,0.3,2.1,11.6,C
193,Pau Gasol,Los Angeles Lakers,2009,37.0,.567,.500,9.6,3.5,0.6,1.0,1.9,18.9,22.2,C
194,Kobe Bryant,Los Angeles Lakers,2009,36.1,.467,.351,5.2,4.9,1.5,0.5,2.6,26.8,24.4,SG
195,Derek Fisher,Los Angeles Lakers,2009,29.8,.424,.397,2.3,3.2,1.2,0.1,0.9,9.9,12.1,PG
196,Lamar Odom,Los Angeles Lakers,2009,29.7,.492,.320,8.2,2.6,1.0,1.3,1.8,11.3,16.6,PF
197,Andrew Bynum,Los Angeles Lakers,2009,28.9,.560,,8.0,1.4,0.4,1.8,1.7,14.3,20.0,C
198,Trevor Ariza,Los Angeles Lakers,2009,24.4,.460,.319,4.3,1.8,1.7,0.3,1.1,8.9,15.5,SF
199,Jordan Farmar,Los Angeles Lakers,2009,18.3,.391,.336,1.8,2.4,0.9,0.2,1.3,6.4,9.9,PG
200,Luke Walton,Los Angeles Lakers,2009,17.9,.436,.298,2.8,2.7,0.5,0.2,1.1,5.0,11.3,SF
201,Vladimir Radmanović,Los Angeles Lakers,2009,16.8,.444,.441,2.5,0.8,0.6,0.2,1.0,5.9,11.6,SF
202,Sasha Vujačić,Los Angeles Lakers,2009,16.2,.387,.363,1.7,1.4,1.0,0.1,0.4,5.8,12.6,SG
203,Josh Powell,Los Angeles Lakers,2009,11.7,.444,,2.9,0.5,0.2,0.3,0.9,4.2,9.9,PF
204,Didier Ilunga-Mbenga,Los Angeles Lakers,2009,7.9,.474,.000,1.3,0.4,0.4,1.0,0.6,2.7,13.9,C
205,Shannon Brown,Los Angeles Lakers,2009,7.6,.524,.667,1.1,0.6,0.2,0.1,0.5,3.2,15.0,SG
206,Chris Mihm,Los Angeles Lakers,2009,5.8,.375,,1.9,0.6,0.1,0.3,0.6,2.0,10.0,C
207,Adam Morrison,Los Angeles Lakers,2009,5.5,.333,.250,1.0,0.4,0.0,0.0,0.4,1.3,2.9,SF
208,Sun Yue,Los Angeles Lakers,2009,2.8,.273,.000,0.0,0.2,0.1,0.1,0.3,0.6,-8.6,SG
209,Ray Allen,Boston Celtics,2008,35.9,.445,.398,3.7,3.1,0.9,0.2,1.7,17.4,16.4,SG
210,Paul Pierce,Boston Celtics,2008,35.9,.464,.392,5.1,4.5,1.3,0.5,2.8,19.6,19.6,SF
211,Kevin Garnett,Boston Celtics,2008,32.8,.539,.000,9.2,3.4,1.4,1.3,1.9,18.8,25.3,PF
212,Rajon Rondo,Boston Celtics,2008,29.9,.492,.263,4.2,5.1,1.7,0.2,1.9,10.6,15.6,PG
213,James Posey,Boston Celtics,2008,24.6,.418,.380,4.4,1.5,1.0,0.3,0.9,7.4,12.0,PF
214,Kendrick Perkins,Boston Celtics,2008,24.5,.615,.000,6.1,1.1,0.4,1.5,1.6,6.9,13.3,C
215,Eddie House,Boston Celtics,2008,19.0,.409,.393,2.1,1.9,0.8,0.1,1.0,7.5,13.0,PG
216,Tony Allen,Boston Celtics,2008,18.3,.434,.316,2.2,1.5,0.8,0.3,1.5,6.6,10.7,SG
