,name,team,year,games_played,mpg,fg%,3pfg%,rebounds,assists,steals,blocks,points_per_game,position,player_efficiency,true_shooting,plus_minus,win_shares_percentage,in_playoff
106,Amir Coffey,LAC,2020,18,8.8,.426,.316,0.9,0.8,0.3,0.1,3.2,SG,8.5,.493,-4.1,.041,1
107,John Collins,ATL,2020,41,33.2,.583,.401,10.1,1.5,0.8,1.6,21.6,PF,23.5,.659,3.1,.174,0
108,Zach Collins,POR,2020,11,26.4,.471,.368,6.3,1.5,0.5,0.5,7.0,PF,9.9,.538,-3.1,.052,1
109,Mike Conley,UTA,2020,47,29.0,.409,.375,3.2,4.4,0.8,0.1,14.4,PG,14.1,.537,0.3,.089,1
110,Pat Connaughton,MIL,2020,67,18.6,.455,.331,4.2,1.6,0.4,0.5,5.4,SG,11.5,.565,0.6,.130,1
111,Quinn Cook,LAL,2020,44,11.5,.425,.365,1.2,1.1,0.3,0.0,5.1,PG,10.0,.509,-3.8,.030,1
112,Tyler Cook,TOT,2020,13,4.2,.667,,1.1,0.1,0.2,0.0,1.8,PF-SF,19.4,.741,-0.4,.182,0
113,Robert Covington,TOT,2020,70,30.5,.422,.335,6.6,1.3,1.6,1.3,12.4,PF-C,13.3,.559,0.0,.083,0
114,Allen Crabbe,TOT,2020,37,17.6,.356,.303,2.1,0.9,0.4,0.1,4.6,SG-SF,6.0,.470,-5.3,-0.007,0
115,Torrey Craig,DEN,2020,58,18.5,.461,.326,3.3,0.8,0.4,0.6,5.4,SF,10.8,.553,-2.3,.091,1
116,Jamal Crawford,BRK,2020,1,6.0,.500,.500,0.0,3.0,0.0,0.0,5.0,SG,33.2,.625,15.0,.492,1
117,Jae Crowder,TOT,2020,65,28.8,.401,.343,5.9,2.5,1.1,0.4,10.5,SF-PF,12.5,.553,-0.1,.098,0
118,Jarrett Culver,MIN,2020,63,23.9,.404,.299,3.4,1.7,0.9,0.6,9.2,SG,9.6,.467,-4.0,-0.004,0
119,Seth Curry,DAL,2020,64,24.6,.495,.452,2.3,1.9,0.6,0.1,12.4,SG,15.5,.643,0.8,.130,1
120,Stephen Curry,GSW,2020,5,27.8,.402,.245,5.2,6.6,1.0,0.4,20.8,PG,21.7,.557,3.9,.103,0
121,Troy Daniels,TOT,2020,47,11.3,.387,.348,1.1,0.4,0.2,0.1,4.3,SG,8.4,.518,-2.9,.056,0
122,Anthony Davis,LAL,2020,62,34.4,.503,.330,9.3,3.2,1.5,2.3,26.1,PF,27.4,.610,8.0,.250,1
123,Ed Davis,UTA,2020,28,10.8,.478,,3.8,0.4,0.4,0.3,1.8,C,9.5,.489,-3.2,.102,1
124,Terence Davis,TOR,2020,72,16.8,.456,.388,3.3,1.6,0.5,0.2,7.5,SG,13.8,.588,0.8,.122,1
125,Dewayne Dedmon,TOT,2020,44,17.6,.400,.206,5.7,0.5,0.6,0.9,5.8,C,9.4,.473,-5.8,.005,0
126,Matthew Dellavedova,CLE,2020,57,14.4,.354,.231,1.3,3.2,0.4,0.0,3.1,PG,8.1,.463,-5.2,.011,0
127,DeMar DeRozan,SAS,2020,68,34.1,.531,.257,5.5,5.6,1.0,0.3,22.1,SF,21.6,.603,1.9,.151,0
128,Cheick Diallo,PHO,2020,47,10.2,.648,.333,2.8,0.5,0.2,0.3,4.7,C,16.5,.688,-1.3,.132,0
129,Hamidou Diallo,OKC,2020,46,19.5,.446,.281,3.6,0.8,0.8,0.2,6.9,SF,9.3,.491,-3.9,.022,1
130,Gorgui Dieng,TOT,2020,63,17.4,.456,.355,5.6,1.2,0.8,0.9,7.4,C,17.1,.568,1.5,.129,0
131,Spencer Dinwiddie,BRK,2020,64,31.2,.415,.308,3.5,6.8,0.6,0.3,20.6,PG,17.8,.541,1.8,.116,1
132,Donte DiVincenzo,MIL,2020,66,23.0,.455,.336,4.8,2.3,1.3,0.3,9.2,SG,14.1,.557,1.3,.135,1
133,Luka Dončić,DAL,2020,61,33.6,.463,.316,9.4,8.8,1.0,0.2,28.8,PG,27.6,.585,8.4,.207,1
134,Luguentz Dort,OKC,2020,36,22.8,.394,.297,2.3,0.8,0.9,0.1,6.8,SF,7.6,.506,-3.7,.049,1
135,Damyean Dotson,NYK,2020,48,17.4,.414,.362,1.9,1.2,0.5,0.1,6.7,SG,10.9,.527,-1.5,.053,0
136,Sekou Doumbouya,DET,2020,38,19.8,.390,.286,3.1,0.5,0.5,0.2,6.4,PF,6.2,.474,-6.7,-0.020,0
137,PJ Dozier,DEN,2020,29,14.2,.414,.347,1.9,2.2,0.5,0.2,5.8,SG,11.6,.495,-3.9,.044,1
138,Goran Dragić,MIA,2020,59,28.2,.441,.367,3.2,5.1,0.7,0.2,16.2,PG,16.3,.573,-0.1,.102,1
139,Andre Drummond,TOT,2020,57,33.0,.533,.143,15.2,2.7,1.9,1.6,17.7,C,22.0,.553,0.9,.108,0
140,Jared Dudley,LAL,2020,45,8.1,.400,.429,1.2,0.6,0.3,0.1,1.5,PF,7.8,.558,-0.8,.102,1
141,Kris Dunn,CHI,2020,51,24.9,.444,.259,3.6,3.4,2.0,0.3,7.3,PG,12.1,.510,-0.6,.085,0
142,Carsen Edwards,BOS,2020,37,9.5,.328,.316,1.3,0.6,0.3,0.1,3.3,SG,6.9,.444,-4.6,.014,1
143,Henry Ellenson,BRK,2020,5,3.0,.143,.000,1.2,0.2,0.0,0.0,0.4,C,-1.3,.143,-10.9,-0.183,1
144,Wayne Ellington,NYK,2020,36,15.5,.351,.350,1.8,1.2,0.4,0.1,5.1,SG,8.5,.509,-2.9,.035,0
145,Joel Embiid,PHI,2020,51,29.5,.477,.331,11.6,3.0,0.9,1.3,23.0,C,25.8,.590,4.7,.192,1
146,James Ennis,TOT,2020,69,18.3,.446,.325,3.6,0.9,0.5,0.3,6.6,SF-SG,11.5,.565,-2.6,.090,0
147,Drew Eubanks,SAS,2020,22,12.4,.642,1.000,3.9,0.7,0.2,0.8,4.9,C,17.3,.682,-1.7,.134,0
148,Jacob Evans,TOT,2020,29,14.4,.336,.333,1.4,1.1,0.4,0.4,4.4,SG,5.5,.436,-7.1,-0.056,0
149,Dante Exum,TOT,2020,35,13.9,.471,.349,1.9,1.1,0.4,0.2,4.5,SG,10.3,.576,-2.9,.043,0
150,Tacko Fall,BOS,2020,7,4.7,.786,,2.1,0.1,0.1,0.6,3.3,C,28.4,.751,6.5,.223,1
151,Derrick Favors,NOP,2020,51,24.4,.617,.143,9.8,1.6,0.6,0.9,9.0,C,18.5,.620,1.0,.162,0
152,Cristiano Felício,CHI,2020,22,17.5,.630,.000,4.6,0.7,0.5,0.1,3.9,C,12.8,.671,-3.0,.126,0
153,Terrance Ferguson,OKC,2020,56,22.4,.355,.292,1.3,0.9,0.5,0.3,3.9,SF,3.7,.481,-4.5,.021,1
154,Bruno Fernando,ATL,2020,56,12.7,.518,.135,3.5,0.9,0.3,0.3,4.3,C,11.9,.542,-4.1,.055,0
155,Yogi Ferrell,SAC,2020,50,10.6,.420,.304,1.0,1.4,0.4,0.1,4.4,PG,12.2,.528,-1.8,.060,0
156,Dorian Finney-Smith,DAL,2020,71,29.9,.466,.376,5.7,1.6,0.6,0.5,9.5,PF,12.3,.595,-0.2,.110,1
157,Bryn Forbes,SAS,2020,63,25.1,.417,.388,2.0,1.7,0.5,0.0,11.2,SG,11.1,.570,-2.7,.047,0
158,Evan Fournier,ORL,2020,66,31.5,.467,.399,2.6,3.2,1.1,0.2,18.5,SF,16.4,.595,1.0,.106,1
159,De'Aaron Fox,SAC,2020,51,32.0,.480,.292,3.8,6.8,1.5,0.5,21.1,PG,20.6,.558,1.8,.118,0
160,Melvin Frazier,ORL,2020,19,6.6,.441,.500,0.5,0.2,0.5,0.1,2.1,SG,9.8,.559,-2.3,.057,1
161,Michael Frazier,HOU,2020,13,11.2,.241,.174,0.8,0.2,0.2,0.0,2.1,SG,-0.9,.384,-11.0,-0.060,1
162,Tim Frazier,DET,2020,27,13.1,.362,.333,1.2,3.4,0.5,0.1,3.6,PG,9.8,.464,-4.6,.016,0
163,Markelle Fultz,ORL,2020,72,27.7,.465,.267,3.3,5.1,1.3,0.2,12.1,PG,14.3,.517,-1.8,.065,1
164,Wenyen Gabriel,TOT,2020,30,7.8,.438,.300,1.7,0.3,0.4,0.2,2.1,PF,9.6,.546,-3.8,.048,0
165,Daniel Gafford,CHI,2020,43,14.2,.701,,2.5,0.5,0.3,1.3,5.1,C,16.2,.686,-1.3,.146,0
166,Danilo Gallinari,OKC,2020,62,29.6,.438,.405,5.2,1.9,0.7,0.1,18.7,PF,19.5,.612,3.3,.166,1
167,Langston Galloway,DET,2020,66,25.8,.435,.399,2.3,1.5,0.7,0.2,10.3,SG,12.3,.584,-0.8,.087,0
