,name,team,mpg,fg%,3pfg%,rebounds,assists,steals,blocks,turnovers,points_per_game
240,Dwyane Wade,Miami Heat,38.6,.495,.171,5.7,6.7,1.9,0.8,3.6,27.2
241,Jason Williams,Miami Heat,31.8,.442,.372,2.4,4.9,0.9,0.1,1.7,12.3
242,Udonis Haslem,Miami Heat,30.8,.508,.000,7.8,1.2,0.6,0.2,1.0,9.3
243,Shaquille O'Neal,Miami Heat,30.6,.600,,9.2,1.9,0.4,1.8,2.8,20.0
244,James Posey,Miami Heat,28.6,.403,.403,4.8,1.3,0.8,0.3,0.9,7.2
245,Gary Payton,Miami Heat,28.5,.420,.287,2.9,3.2,0.9,0.1,1.3,7.7
246,Antoine Walker,Miami Heat,26.8,.435,.358,5.1,2.0,0.6,0.4,1.8,12.2
247,Derek Anderson,Miami Heat,20.2,.308,.313,2.6,2.1,0.3,0.1,0.7,5.8
248,Alonzo Mourning,Miami Heat,20.0,.597,.000,5.5,0.2,0.2,2.7,1.2,7.8
249,Shandon Anderson,Miami Heat,13.3,.429,.263,1.7,0.6,0.4,0.1,0.5,2.6
250,Gerald Fitch,Miami Heat,13.3,.337,.269,1.7,1.8,0.4,0.3,0.8,4.7
251,Jason Kapono,Miami Heat,13.0,.446,.396,1.4,0.7,0.1,0.1,0.4,4.1
252,Michael Doleac,Miami Heat,12.0,.420,,2.7,0.3,0.3,0.2,0.5,3.2
253,Wayne Simien,Miami Heat,9.6,.483,,2.0,0.2,0.3,0.0,0.6,3.4
254,Dorell Wright,Miami Heat,6.6,.465,.500,1.6,0.4,0.2,0.1,0.7,2.9
255,Earl Barron,Miami Heat,5.6,.313,,1.3,0.0,0.0,0.0,0.6,1.6
256,Matt Walsh,Miami Heat,1.5,1.000,,0.0,0.0,0.0,0.0,0.5,1.0
257,Tony Parker,San Antonio Spurs,34.2,.482,.276,3.7,6.1,1.2,0.1,2.7,16.6
258,Tim Duncan,San Antonio Spurs,33.4,.496,.333,11.1,2.7,0.7,2.6,1.9,20.3
259,Bruce Bowen,San Antonio Spurs,32.0,.420,.403,3.5,1.5,0.7,0.5,0.7,8.2
260,Manu Ginóbili,San Antonio Spurs,29.6,.471,.376,4.4,3.9,1.6,0.4,2.3,16.0
261,Rasho Nesterović,San Antonio Spurs,25.5,.460,,6.6,1.0,0.4,1.7,1.0,5.9
262,Brent Barry,San Antonio Spurs,21.5,.423,.357,2.3,2.2,0.5,0.2,0.8,7.4
263,Robert Horry,San Antonio Spurs,18.6,.419,.370,3.6,1.1,0.9,0.8,0.9,6.0
264,Devin Brown,San Antonio Spurs,18.5,.423,.372,2.6,1.4,0.6,0.2,0.8,7.4
265,Nazr Mohammed,San Antonio Spurs,18.0,.387,,6.4,0.3,0.2,1.4,1.2,6.2
266,Glenn Robinson,San Antonio Spurs,17.4,.442,.333,2.7,0.9,0.4,0.3,0.8,10.0
267,Malik Rose,San Antonio Spurs,17.2,.464,.000,4.5,0.8,0.6,0.2,1.1,6.3
268,Beno Udrih,San Antonio Spurs,14.4,.444,.408,1.0,1.9,0.5,0.1,1.0,5.9
269,Tony Massenburg,San Antonio Spurs,11.5,.407,,2.7,0.2,0.3,0.3,0.7,3.2
270,Sean Marks,San Antonio Spurs,10.6,.338,.000,2.4,0.3,0.1,0.5,0.6,3.3
271,Dion Glover,San Antonio Spurs,9.7,.364,.125,1.6,0.6,0.4,0.4,0.3,3.6
272,Linton Johnson,San Antonio Spurs,7.5,.000,.000,1.5,0.0,0.5,0.0,0.5,0.0
273,Mike Wilks,San Antonio Spurs,5.8,.416,.313,0.5,0.7,0.3,0.0,0.3,1.7
274,Ben Wallace,Detroit Pistons,37.7,.421,.125,12.4,1.7,1.8,3.0,1.5,9.5
275,Richard Hamilton,Detroit Pistons,35.5,.455,.265,3.6,4.0,1.3,0.2,2.7,17.6
276,Chauncey Billups,Detroit Pistons,35.4,.394,.388,3.5,5.7,1.1,0.1,2.4,16.9
277,Tayshaun Prince,Detroit Pistons,32.9,.467,.363,4.8,2.3,0.8,0.8,1.5,10.3
278,Rasheed Wallace,Detroit Pistons,30.6,.431,.319,7.0,1.8,1.1,2.0,1.3,13.7
279,Mehmet Okur,Detroit Pistons,22.3,.463,.375,5.9,1.0,0.5,0.9,1.4,9.6
280,Lindsey Hunter,Detroit Pistons,20.0,.343,.280,2.0,2.6,1.2,0.2,1.0,3.5
281,Corliss Williamson,Detroit Pistons,19.9,.505,,3.2,0.7,0.4,0.3,1.4,9.5
282,Mike James,Detroit Pistons,19.7,.401,.364,2.2,3.7,1.0,0.0,1.6,6.3
283,Chucky Atkins,Detroit Pistons,18.8,.374,.323,1.2,2.4,0.5,0.0,1.2,6.2
284,Elden Campbell,Detroit Pistons,13.7,.439,,3.2,0.7,0.3,0.8,1.0,5.6
285,Bob Sura,Detroit Pistons,13.3,.410,.250,1.9,1.7,0.7,0.2,0.7,3.8
286,Željko Rebrača,Detroit Pistons,10.6,.407,,2.3,0.2,0.2,0.4,0.6,3.1
287,Darvin Ham,Detroit Pistons,9.0,.493,.500,1.7,0.3,0.2,0.1,0.6,1.8
288,Hubert Davis,Detroit Pistons,7.7,.000,.000,0.0,0.3,0.0,0.0,0.3,0.0
289,Tremaine Fowlkes,Detroit Pistons,7.3,.313,.125,1.5,0.4,0.3,0.1,0.3,1.2
