,name,team,year,games_played,mpg,fg%,3pfg%,rebounds,assists,steals,blocks,points_per_game,position,player_efficiency,true_shooting,plus_minus,win_shares_percentage,in_playoff
406,Kevin Porter Jr.,CLE,2020,50,23.2,0.442,0.335,3.2,2.2,0.9,0.3,10.0,SF,10.8,0.535,-3.8,0.012,0
409,Bobby Portis,NYK,2020,66,21.1,0.45,0.358,5.1,1.5,0.5,0.3,10.1,PF,14.6,0.53,-1.1,0.064,0
411,Dwight Powell,DAL,2020,40,26.5,0.638,0.256,5.7,1.5,0.9,0.6,9.4,C,15.9,0.677,1.3,0.162,1
412,Norman Powell,TOR,2020,52,28.4,0.495,0.39899999999999997,3.7,1.8,1.2,0.4,16.0,SG,16.8,0.624,2.0,0.15,1
413,Taurean Prince,BRK,2020,64,29.0,0.376,0.33899999999999997,6.0,1.8,0.9,0.4,12.1,PF,9.1,0.49700000000000005,-2.9,0.013999999999999999,1
417,Cam Reddish,ATL,2020,58,26.7,0.384,0.332,3.7,1.5,1.1,0.5,10.5,SF,9.0,0.5,-4.2,-0.011000000000000001,0
418,J.J. Redick,NOP,2020,60,26.4,0.45299999999999996,0.45299999999999996,2.5,2.0,0.3,0.2,15.3,SG,15.4,0.644,0.7,0.125,0
421,Austin Rivers,HOU,2020,68,23.4,0.42100000000000004,0.35600000000000004,2.6,1.7,0.7,0.1,8.8,SG,10.4,0.542,-2.5,0.07200000000000001,1
423,Duncan Robinson,MIA,2020,73,29.7,0.47,0.446,3.2,1.4,0.5,0.3,13.5,SG,13.1,0.684,0.5,0.11800000000000001,1
424,Glenn Robinson III,TOT,2020,62,28.8,0.486,0.391,4.4,1.5,0.9,0.3,11.7,SF,13.3,0.5770000000000001,-1.7,0.078,0
427,Mitchell Robinson,NYK,2020,61,23.1,0.742,0.0,7.0,0.6,0.9,2.0,9.7,C,23.5,0.726,2.9,0.23,0
429,Rajon Rondo,LAL,2020,48,20.5,0.418,0.32799999999999996,3.0,5.0,0.8,0.0,7.1,PG,12.4,0.494,-1.3,0.068,1
430,Derrick Rose,DET,2020,50,26.0,0.49,0.306,2.4,5.6,0.8,0.3,18.1,PG,21.0,0.555,2.2,0.092,0
431,Terrence Ross,ORL,2020,69,27.4,0.40299999999999997,0.35100000000000003,3.2,1.2,1.1,0.3,14.7,SG,14.0,0.5479999999999999,-0.4,0.077,1
438,Dario Šarić,PHO,2020,66,24.7,0.47600000000000003,0.35700000000000004,6.2,1.9,0.6,0.2,10.7,PF,14.2,0.5920000000000001,-0.4,0.105,0
439,Tomáš Satoranský,CHI,2020,65,28.9,0.43,0.322,3.9,5.4,1.2,0.1,9.9,SG,13.5,0.5329999999999999,-1.3,0.09,0
445,Landry Shamet,LAC,2020,53,27.4,0.40399999999999997,0.375,1.9,1.9,0.4,0.2,9.3,SG,8.5,0.58,-2.1,0.086,1
451,Anfernee Simons,POR,2020,70,20.7,0.39899999999999997,0.332,2.2,1.4,0.4,0.1,8.3,SG,9.0,0.502,-4.5,0.005,1
455,Ish Smith,WAS,2020,68,26.3,0.447,0.36700000000000005,3.2,4.9,0.9,0.4,10.9,PG,13.9,0.509,-1.3,0.051,0
458,Tony Snell,DET,2020,59,27.8,0.445,0.402,1.9,2.2,0.5,0.3,8.0,SF,9.7,0.598,-1.8,0.076,0
464,Jeff Teague,TOT,2020,59,24.8,0.436,0.368,2.4,5.2,0.7,0.3,10.9,PG,14.6,0.557,-1.5,0.08199999999999999,0
