,name,team,year,games_played,mpg,fg%,3pfg%,rebounds,assists,steals,blocks,points_per_game,position,player_efficiency,true_shooting,plus_minus,win_shares_percentage
103,Robert Covington,POR,2021,33,31.9,0.374,0.33299999999999996,6.6,1.7,1.6,1.2,7.9,PF,10.1,0.513,-1.7,0.048
108,Stephen Curry,GSW,2021,35,34.1,0.478,0.41100000000000003,5.5,6.3,1.3,0.1,29.7,PG,25.2,0.6459999999999999,7.5,0.2
109,Anthony Davis,LAL,2021,23,32.8,0.5329999999999999,0.293,8.4,3.0,1.3,1.8,22.5,PF,24.7,0.588,6.4,0.205
112,DeMar DeRozan,SAS,2021,30,33.9,0.49,0.321,4.7,7.3,1.0,0.3,20.3,PF,22.2,0.597,4.1,0.2
117,Luka Dončić,DAL,2021,33,35.3,0.47700000000000004,0.35100000000000003,8.5,9.1,1.0,0.7,28.4,PG,25.9,0.585,7.2,0.166
126,Kevin Durant,BRK,2021,19,35.7,0.524,0.434,7.3,5.3,0.7,1.4,29.0,PF,25.2,0.652,5.4,0.187
131,Joel Embiid,PHI,2021,30,33.0,0.521,0.41600000000000004,11.6,3.3,1.2,1.4,30.2,C,31.1,0.6459999999999999,8.5,0.28300000000000003
141,Dorian Finney-Smith,DAL,2021,26,31.5,0.42200000000000004,0.341,5.2,1.4,1.0,0.4,8.2,PF,9.6,0.552,-1.7,0.078
146,De'Aaron Fox,SAC,2021,35,34.2,0.466,0.342,3.2,7.6,1.2,0.5,23.0,PG,18.8,0.551,0.2,0.063
153,Darius Garland,CLE,2021,28,32.9,0.44,0.384,2.2,5.9,1.2,0.1,16.1,PG,12.6,0.524,-2.5,0.021
156,Paul George,LAC,2021,27,33.5,0.499,0.45,6.1,5.4,1.1,0.5,23.7,SF,22.7,0.642,5.3,0.17300000000000001
159,Shai Gilgeous-Alexander,OKC,2021,30,34.0,0.511,0.41200000000000003,5.1,6.2,0.8,0.7,23.2,SG,22.0,0.627,4.4,0.17
161,Rudy Gobert,UTA,2021,36,30.7,0.6409999999999999,0.0,13.1,1.3,0.5,2.7,14.2,C,22.5,0.649,3.4,0.22
165,Devonte' Graham,CHO,2021,25,32.8,0.35200000000000004,0.34700000000000003,3.0,5.7,1.0,0.0,13.7,PG,12.1,0.503,-1.9,0.069
166,Jerami Grant,DET,2021,33,36.2,0.433,0.363,5.3,2.9,0.8,1.1,23.4,SF,17.8,0.5710000000000001,1.8,0.111
173,Blake Griffin,DET,2021,20,31.3,0.365,0.315,5.2,3.9,0.7,0.1,12.3,PF,9.9,0.491,-2.6,0.026000000000000002
177,Tyrese Haliburton,SAC,2021,30,30.1,0.494,0.433,3.6,5.4,1.4,0.6,13.2,PG,18.2,0.619,2.8,0.11699999999999999
181,James Harden,BRK,2021,31,37.8,0.484,0.401,7.8,11.1,1.2,0.7,25.3,PG-SG,24.8,0.642,6.6,0.222
185,Gary Harris,DEN,2021,19,30.6,0.442,0.32,2.5,1.7,0.9,0.2,9.7,SG,9.4,0.544,-3.6,0.064
187,Joe Harris,BRK,2021,37,30.9,0.53,0.506,3.5,1.8,0.5,0.2,14.8,SF,15.1,0.7,0.9,0.133
188,Tobias Harris,PHI,2021,31,34.4,0.513,0.402,7.6,3.4,0.8,0.8,20.2,PF,19.4,0.607,2.9,0.161
194,Gordon Hayward,CHO,2021,31,34.8,0.48700000000000004,0.405,5.4,3.9,1.3,0.4,21.5,SF,18.8,0.595,2.0,0.132
197,Tyler Herro,MIA,2021,25,32.7,0.43799999999999994,0.34700000000000003,5.7,3.6,0.6,0.4,15.8,SG,11.9,0.535,-2.5,0.027000000000000003
198,Buddy Hield,SAC,2021,36,34.8,0.391,0.37799999999999995,4.5,3.2,0.8,0.3,16.4,SG,11.3,0.551,-2.2,0.018000000000000002
