,name,team,year,games_played,mpg,fg%,3pfg%,rebounds,assists,steals,blocks,points_per_game,position,player_efficiency,true_shooting,plus_minus,win_shares_percentage,in_playoff
383,Kelly Olynyk,MIA,2020,67,19.4,0.462,0.406,4.6,1.7,0.7,0.3,8.2,C,14.6,0.621,1.0,0.135,1
392,Anžejs Pasečņiks,WAS,2020,27,16.2,0.526,0.0,4.0,0.7,0.3,0.4,5.8,C,11.3,0.551,-5.6,0.054000000000000006,0
393,Patrick Patterson,LAC,2020,59,13.2,0.408,0.39,2.6,0.7,0.1,0.1,4.9,PF,11.5,0.58,0.3,0.11800000000000001,1
398,Gary Payton II,WAS,2020,29,14.9,0.414,0.28300000000000003,2.8,1.7,1.1,0.2,3.9,SF,11.3,0.473,-1.6,0.051,0
400,Theo Pinson,BRK,2020,33,11.1,0.29,0.188,1.6,1.7,0.5,0.1,3.6,SG,5.2,0.37,-7.0,-0.078,1
401,Mason Plumlee,DEN,2020,61,17.3,0.615,0.0,5.2,2.5,0.5,0.6,7.2,C,18.8,0.613,2.0,0.153,1
402,Jakob Poeltl,SAS,2020,66,17.7,0.624,0.0,5.7,1.8,0.6,1.4,5.6,C,19.1,0.612,2.5,0.163,0
407,Michael Porter Jr.,DEN,2020,55,16.4,0.509,0.42200000000000004,4.7,0.8,0.5,0.5,9.3,SF,19.8,0.617,1.5,0.154,1
419,Naz Reid,MIN,2020,30,16.5,0.41200000000000003,0.33,4.1,1.2,0.6,0.7,9.0,C,15.3,0.505,-1.9,0.07400000000000001,0
425,Jerome Robinson,TOT,2020,63,15.5,0.371,0.32,2.0,1.4,0.4,0.3,5.1,SG,7.4,0.47600000000000003,-3.9,0.009000000000000001,0
437,JaKarr Sampson,IND,2020,34,13.9,0.591,0.154,2.6,0.6,0.5,0.4,4.6,PF,12.6,0.615,-1.4,0.124,1
440,Admiral Schofield,WAS,2020,33,11.2,0.38,0.311,1.4,0.5,0.2,0.1,3.0,PF,6.1,0.502,-5.5,0.017,0
442,Mike Scott,PHI,2020,68,17.8,0.426,0.369,3.6,0.8,0.3,0.1,6.0,PF,11.2,0.557,-1.8,0.1,1
443,Thabo Sefolosha,HOU,2020,41,10.6,0.40700000000000003,0.278,2.3,0.6,0.6,0.3,2.2,PF,9.4,0.48700000000000004,-1.2,0.07200000000000001,1
447,Iman Shumpert,BRK,2020,13,18.5,0.32799999999999996,0.242,2.6,0.9,0.9,0.2,4.2,SF,5.3,0.40299999999999997,-5.5,-0.005,1
454,Dennis Smith Jr.,NYK,2020,34,15.8,0.341,0.29600000000000004,2.3,2.9,0.8,0.2,5.5,PG,7.4,0.39899999999999997,-6.1,-0.079,0
459,Omari Spellman,GSW,2020,49,18.1,0.431,0.391,4.5,1.0,0.7,0.5,7.6,C,14.4,0.551,-1.7,0.066,0
461,Edmond Sumner,IND,2020,31,14.4,0.43,0.264,1.5,1.8,0.5,0.3,4.9,SG,10.1,0.491,-3.0,0.047,1
462,Caleb Swanigan,TOT,2020,27,10.7,0.596,0.0,3.7,1.1,0.1,0.3,2.4,PF-C,7.6,0.597,-6.0,0.004,0
470,Matt Thomas,TOR,2020,41,10.7,0.48700000000000004,0.475,1.5,0.5,0.2,0.0,4.9,SG,13.3,0.65,1.1,0.133,1
473,Matisse Thybulle,PHI,2020,65,19.8,0.423,0.35700000000000004,1.6,1.2,1.4,0.7,4.7,SG,10.0,0.539,0.3,0.086,1
474,Anthony Tolliver,TOT,2020,55,15.9,0.35700000000000004,0.33799999999999997,2.8,0.8,0.3,0.2,3.6,PF,7.0,0.513,-3.2,0.026000000000000002,0
478,Allonzo Trier,NYK,2020,24,12.1,0.48100000000000004,0.358,1.2,1.2,0.1,0.2,6.5,SG,14.5,0.62,-0.5,0.087,0
481,Evan Turner,ATL,2020,19,13.2,0.373,0.0,2.0,2.0,0.5,0.4,3.3,SG,6.8,0.424,-5.6,-0.064,0
485,Denzel Valentine,CHI,2020,36,13.6,0.409,0.336,2.1,1.2,0.7,0.2,6.8,SF,13.0,0.511,-0.6,0.048,0
489,Noah Vonleh,TOT,2020,36,10.5,0.565,0.2,3.4,0.8,0.3,0.2,3.7,C,15.5,0.622,-1.0,0.127,0
492,Moritz Wagner,WAS,2020,45,18.6,0.545,0.313,4.9,1.2,0.6,0.4,8.7,C,15.1,0.638,-2.3,0.099,0
495,Lonnie Walker,SAS,2020,61,16.2,0.426,0.406,2.3,1.1,0.5,0.2,6.4,SG,10.5,0.507,-3.5,0.016,0
496,Tyrone Wallace,ATL,2020,14,11.4,0.318,0.067,1.6,0.9,0.5,0.1,2.9,SG,3.9,0.389,-8.7,-0.075,0
