,name,team,year,games_played,mpg,fg%,3pfg%,rebounds,assists,steals,blocks,points_per_game,position,player_efficiency,true_shooting,plus_minus,win_shares_percentage
128,Carsen Edwards,BOS,2021,14,10.5,0.46,0.324,1.0,0.4,0.3,0.1,5.4,SG,13.6,0.568,-3.4,0.10300000000000001
133,Drew Eubanks,SAS,2021,16,11.5,0.41200000000000003,0.0,2.9,0.6,0.1,1.1,3.5,C,10.7,0.46799999999999997,-4.0,0.043
136,Derrick Favors,UTA,2021,34,16.2,0.649,0.0,5.5,0.8,0.5,0.9,6.3,C,20.2,0.6890000000000001,2.3,0.244
143,Bryn Forbes,MIL,2021,36,18.8,0.467,0.44799999999999995,1.3,0.6,0.2,0.0,9.3,SG,11.9,0.618,-2.2,0.086
150,Daniel Gafford,CHI,2021,26,13.2,0.667,0.0,3.2,0.6,0.4,1.2,4.8,PF,17.7,0.684,0.2,0.17
152,Langston Galloway,PHO,2021,25,10.5,0.46299999999999997,0.457,1.0,0.6,0.2,0.0,4.5,SG,12.9,0.635,-0.4,0.127
157,Taj Gibson,NYK,2021,12,15.1,0.581,0.28600000000000003,4.3,0.5,0.4,0.3,3.8,PF,12.4,0.62,-1.4,0.134
158,Harry Giles,POR,2021,22,11.8,0.419,0.375,4.9,0.9,0.2,0.4,3.1,C,11.3,0.486,-4.7,0.06
162,Brandon Goodwin,ATL,2021,24,12.0,0.33,0.28300000000000003,1.1,1.8,0.4,0.0,4.3,PG,8.1,0.43799999999999994,-3.6,0.006
170,Javonte Green,BOS,2021,22,15.0,0.5489999999999999,0.318,2.3,0.5,0.8,0.1,4.8,SG,12.7,0.624,-0.4,0.11
172,Josh Green,DAL,2021,17,12.5,0.47200000000000003,0.16699999999999998,2.3,0.6,0.2,0.1,2.5,SG,6.4,0.514,-5.2,0.016
192,Jaxson Hayes,NOP,2021,25,12.4,0.6759999999999999,0.0,3.6,0.4,0.4,0.5,4.4,C,15.7,0.687,-1.8,0.126
195,Juan Hernangómez,MIN,2021,17,15.9,0.4,0.302,4.4,0.6,0.4,0.1,5.9,PF,11.1,0.513,-3.7,0.049
196,Willy Hernangómez,NOP,2021,20,18.0,0.545,0.2,7.0,1.3,0.4,0.5,7.3,C,19.9,0.5760000000000001,-0.4,0.162
200,Solomon Hill,ATL,2021,36,19.1,0.35600000000000004,0.318,2.3,0.9,0.7,0.2,4.3,PF,6.6,0.498,-3.0,0.032
202,Aaron Holiday,IND,2021,35,19.1,0.371,0.35200000000000004,1.3,1.8,0.6,0.1,7.3,PG,7.4,0.47,-5.5,-0.011000000000000001
206,Rodney Hood,POR,2021,30,19.2,0.369,0.299,1.7,1.1,0.6,0.1,5.0,SF,4.7,0.434,-8.1,-0.052000000000000005
208,Talen Horton-Tucker,LAL,2021,33,17.5,0.441,0.28600000000000003,2.4,2.0,0.8,0.6,7.2,SG,11.7,0.517,-1.6,0.07
210,Dwight Howard,PHI,2021,36,15.9,0.5870000000000001,0.364,7.3,0.8,0.4,0.9,6.1,C,15.7,0.602,-3.4,0.11599999999999999
221,Wesley Iwundu,DAL,2021,20,12.3,0.298,0.13,1.8,0.4,0.4,0.2,2.0,SF,3.9,0.386,-6.0,-0.012
224,Justin Jackson,OKC,2021,25,16.2,0.409,0.29100000000000004,2.3,1.5,0.4,0.0,6.4,SF,9.7,0.51,-3.7,0.018000000000000002
228,DaQuan Jeffries,SAC,2021,12,15.8,0.423,0.33299999999999996,1.8,0.3,0.4,0.3,4.8,SG,8.1,0.527,-5.3,0.006
