,name,team,year,games_played,mpg,fg%,3pfg%,rebounds,assists,steals,blocks,points_per_game,position,player_efficiency,true_shooting,plus_minus,win_shares_percentage
412,Iman Shumpert,BRK,2021,2,5.5,0.25,0.0,0.5,0.0,0.5,0.0,1.0,SG,-0.3,0.25,-13.0,-0.21100000000000002
414,Chris Silva,MIA,2021,6,8.8,0.667,1.0,3.0,1.0,0.2,0.3,3.8,PF,16.2,0.805,-2.0,0.17600000000000002
417,Deividas Sirvydis,DET,2021,5,1.6,0.0,0.0,0.2,0.2,0.0,0.0,0.2,SG,-9.0,0.129,-24.5,-0.304
421,Jalen Smith,PHO,2021,11,5.2,0.368,0.25,1.0,0.2,0.0,0.2,1.5,PF,7.2,0.402,-4.2,0.009000000000000001
423,Ray Spalding,HOU,2021,2,9.5,0.5,0.0,2.0,0.0,0.0,1.0,2.0,C,0.9,0.41,-10.4,-0.16399999999999998
424,Cassius Stanley,IND,2021,8,2.9,0.28600000000000003,0.5,0.4,0.0,0.0,0.3,1.1,SG,6.8,0.489,-7.9,0.04
433,Tyrell Terry,DAL,2021,11,5.1,0.313,0.0,0.5,0.5,0.5,0.0,1.0,PG,5.9,0.318,-5.5,-0.055999999999999994
435,Brodric Thomas,HOU,2021,4,6.0,0.28600000000000003,0.16699999999999998,1.0,1.0,0.3,0.3,2.5,SG,7.4,0.496,-7.3,-0.045
436,Matt Thomas,TOR,2021,21,6.9,0.391,0.387,0.7,0.4,0.1,0.0,2.5,SG,8.2,0.545,-4.5,0.028999999999999998
438,Sindarius Thornwell,NOP,2021,11,4.8,0.462,0.5,0.3,0.2,0.4,0.0,1.4,SG,8.8,0.54,-2.8,0.021
454,Noah Vonleh,BRK,2021,4,2.8,0.0,0.0,0.3,0.3,0.0,0.0,0.0,PF,-19.0,0.0,-29.9,-0.48700000000000004
465,Tremont Waters,BOS,2021,10,9.8,0.32299999999999995,0.4,0.8,3.0,0.6,0.0,3.3,PG,11.7,0.478,-1.3,0.021
466,Paul Watson,TOR,2021,16,4.6,0.5,0.529,0.9,0.1,0.0,0.1,1.8,SF,12.7,0.725,-0.6,0.131
467,Quinndary Weatherspoon,SAS,2021,5,4.8,0.2,0.0,0.4,0.6,0.2,0.0,0.8,SG,-10.3,0.34,-22.2,-0.317
472,Greg Whittington,DEN,2021,2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PF,-10.2,0.0,-16.5,-0.264
480,D.J. Wilson,MIL,2021,11,9.0,0.366,0.34600000000000003,2.1,0.3,0.1,0.4,3.6,PF,8.2,0.478,-5.7,0.013000000000000001
483,Cassius Winston,WAS,2021,6,7.3,0.4,0.429,0.7,1.0,0.0,0.2,2.2,PG,9.8,0.597,-4.0,0.08800000000000001
486,Robert Woodard,SAC,2021,6,2.8,0.545,0.33299999999999996,1.3,0.0,0.0,0.0,2.2,SF,22.9,0.547,-2.0,0.003
