,name,team,year,games_played,mpg,fg%,3pfg%,rebounds,assists,steals,blocks,points_per_game,position,player_efficiency,true_shooting,plus_minus,win_shares_percentage,in_playoff
663,DeMar DeRozan,SAS,2019,77,34.9,0.48100000000000004,0.156,6.0,6.2,1.1,0.5,21.2,SG,19.6,0.542,1.1,0.11199999999999999,1
670,Luka Dončić,DAL,2019,72,32.2,0.42700000000000005,0.327,7.8,6.0,1.1,0.3,21.2,SG,19.6,0.545,3.9,0.10099999999999999,0
675,Andre Drummond,DET,2019,79,33.5,0.5329999999999999,0.132,15.6,1.4,1.7,1.7,17.3,C,23.4,0.555,2.1,0.18100000000000002,1
677,Kris Dunn,CHI,2019,46,30.2,0.425,0.354,4.1,6.0,1.5,0.5,11.3,PG,12.4,0.484,-2.7,0.022000000000000002,0
678,Kevin Durant,GSW,2019,78,34.6,0.521,0.353,6.4,5.9,0.7,1.1,26.0,SF,24.2,0.631,5.5,0.204,1
683,Joel Embiid,PHI,2019,64,33.7,0.484,0.3,13.6,3.7,0.7,1.9,27.5,C,26.1,0.593,4.9,0.19399999999999998,1
698,Evan Fournier,ORL,2019,81,31.5,0.43799999999999994,0.34,3.2,3.6,0.9,0.1,15.1,SG,12.3,0.536,-2.4,0.061,1
699,De'Aaron Fox,SAC,2019,81,31.4,0.45799999999999996,0.371,3.8,7.3,1.6,0.6,17.3,PG,18.1,0.544,1.5,0.106,0
705,Danilo Gallinari,LAC,2019,68,30.3,0.46299999999999997,0.433,6.1,2.6,0.7,0.3,19.8,SF,21.0,0.633,4.3,0.191,1
708,Marc Gasol,TOT,2019,79,30.8,0.44799999999999995,0.363,7.9,4.4,1.1,1.1,13.6,C,16.7,0.546,3.1,0.11800000000000001,0
711,Paul George,OKC,2019,77,36.9,0.43799999999999994,0.386,8.2,4.1,2.2,0.4,28.0,SF,23.3,0.583,7.2,0.201,1
715,Rudy Gobert,UTA,2019,81,31.8,0.669,0.0,12.9,2.0,0.8,2.3,15.9,C,24.6,0.682,5.4,0.268,1
717,Aaron Gordon,ORL,2019,78,33.8,0.449,0.349,7.4,3.7,0.7,0.7,16.0,PF,15.1,0.5379999999999999,0.6,0.09300000000000001,1
718,Eric Gordon,HOU,2019,68,31.7,0.409,0.36,2.2,1.9,0.6,0.4,16.2,SG,12.2,0.5489999999999999,-1.3,0.059000000000000004,1
